year,scheduled,mini.pia,tax.ssb,cap.spouse,survivorjs75,tax.max.90,tax.max.90.FICA.134,fica.134,cola.chain.cpi,reduce.cola,increase.fra,increase.fra.era,taxmax150000,taxmax180000,no.tax.max
2005,0.110824346,0.110824346,0.110824346,0.110824346,0.110824346,,,,,,,,,,
2006,0.110090896,0.110090896,0.110090896,0.110090896,0.110090896,,,,,,,,,,
2007,0.112354636,0.112354636,0.112354636,0.112354636,0.112354636,,,,,,,,,,
2008,0.115332829,0.115332829,0.115332829,0.115332829,0.115332829,,,,,,,,,,
2009,0.127446132,0.127446132,0.127446132,0.127446132,0.127446132,,,,,,,,,,
2010,0.138640485,0.138640485,0.138640485,0.138640485,0.138640485,,,,,,,,,,
2011,0.161767375,0.161767375,0.161767375,0.161767375,0.161767375,,,,,,,,,,
2012,0.165284814,0.165284814,0.165284814,0.165284814,0.165284814,,,,,,,,,,
2013,0.140512513,0.140512513,0.140512513,0.140512513,0.140512513,,,,,,,,,,
2014,0.140937684,0.140937684,0.140937684,0.140937684,0.140937684,,,,,,,,,,
2015,0.130297583,0.130307905,0.130297583,0.130297583,0.130297583,,,,,,,,,,
2016,0.136469962,0.136485668,0.136469962,0.136469962,0.136469962,,,,,,,,,,
2017,0.135161849,0.135174252,0.135161849,0.135161849,0.135161849,,,,,,,,,,
2018,0.136569065,0.136583274,0.136569065,0.136569065,0.136569065,,,,,,,,,,
2019,0.13839364,0.138409801,0.13839364,0.13839364,0.13839364,,,,,,,,,,
2020,0.141258229,0.141272935,0.141258229,0.141258229,0.141258229,,,,,,,,,,
2021,0.142012655,0.142032515,0.142012589,0.142012655,0.142012655,,,,,,,,,,
2022,0.145774639,0.145804243,0.145774574,0.145754177,0.145717913,,,,,,,,,,
2023,0.146559599,0.146632959,0.146559554,0.1464891,0.146371784,,,,,,,,,,
2024,0.150887124,0.151028229,0.150887046,0.150749988,0.150492333,,,,,,,,,,
2025,0.154386266,0.154685484,0.154386169,0.154139036,0.153644606,,,,,,,,,,
2026,0.155115872,0.15564625,0.155115779,0.15473924,0.154015592,,,,,,,,,,
2027,0.157637906,0.158501477,0.157637829,0.157078019,0.156034961,,,,,,,,,,
2028,0.158525388,0.159780827,0.158525298,0.157806128,0.156482052,,,,,,,,,,
2029,0.160461875,0.162266474,0.160461805,0.159564053,0.157958187,,,,,,,,,,
2030,0.161964147,0.164380903,0.161964133,0.160913792,0.159003614,,,,,,,,,,
2031,0.163346637,0.166439812,0.163346648,0.162160895,0.159992822,,,,,,,,,,
2032,0.164053088,0.167848341,0.164053228,0.162762489,0.160282963,,,,,,,,,,
2033,0.167217738,0.171848592,0.167217878,0.165783391,0.163042321,,,,,,,,,,
2034,0.169233248,0.174655776,0.169233248,0.167663985,0.164688991,,,,,,,,,,
2035,0.169505804,0.175634518,0.169505804,0.167837134,0.164652234,,,,,,,,,,
2036,0.16863867,0.175387374,0.16863867,0.16690767,0.1636358,,,,,,,,,,
2037,0.169142562,0.176447692,0.169142562,0.167325995,0.163883227,,,,,,,,,,
2038,0.169064759,0.176945626,0.169064759,0.167187739,0.163698486,,,,,,,,,,
2039,0.168983755,0.177407937,0.168983755,0.167019619,0.163571808,,,,,,,,,,
2040,0.169226788,0.17823857,0.169226788,0.167190608,0.163632185,,,,,,,,,,
2041,0.167967136,0.177515087,0.167967136,0.165889142,0.162370967,,,,,,,,,,
2042,0.168041614,0.178078041,0.168041614,0.165944505,0.162491871,,,,,,,,,,
2043,0.168704116,0.179286269,0.168704116,0.166567446,0.163172008,,,,,,,,,,
2044,0.168688196,0.179787641,0.168688196,0.166494299,0.163148322,,,,,,,,,,
2045,0.166229976,0.177610856,0.166229976,0.164051306,0.160981339,,,,,,,,,,
2046,0.16718563,0.179094864,0.16718563,0.164946399,0.161953131,,,,,,,,,,
2047,0.16679961,0.179112705,0.16679961,0.164489151,0.161761611,,,,,,,,,,
2048,0.166486825,0.179142879,0.166486825,0.164170552,0.161589635,,,,,,,,,,
2049,0.167264162,0.180300856,0.167264162,0.164910904,0.162500118,,,,,,,,,,
2050,0.167762289,0.181233391,0.167762289,0.165378202,0.163082443,,,,,,,,,,
2051,0.166639675,0.180324188,0.166639675,0.164251216,0.162200006,,,,,,,,,,
2052,0.167751854,0.181867643,0.167751854,0.165331451,0.163370731,,,,,,,,,,
2053,0.167145105,0.18150293,0.167145105,0.164736013,0.162886038,,,,,,,,,,
2054,0.167904971,0.18265477,0.167904971,0.165444309,0.163760318,,,,,,,,,,
2055,0.168951513,0.184057233,0.168951513,0.166484937,0.164887623,,,,,,,,,,
2056,0.16872225,0.184013133,0.16872225,0.166257819,0.164898957,,,,,,,,,,
2057,0.168512074,0.183987618,0.168512074,0.166068843,0.164830412,,,,,,,,,,
2058,0.169405002,0.185156374,0.169405002,0.166968125,0.1658792,,,,,,,,,,
2059,0.171219403,0.187288797,0.171219403,0.168737306,0.16772203,,,,,,,,,,
2060,0.170516263,0.186531358,0.170516263,0.168052042,0.167313877,,,,,,,,,,
2061,0.173050219,0.189304646,0.173050219,0.17056757,0.169832003,,,,,,,,,,
2062,0.172999822,0.189324493,0.172999822,0.170518546,0.169860355,,,,,,,,,,
2063,0.174489924,0.191043416,0.174489924,0.171998851,0.171460785,,,,,,,,,,
2064,0.174250798,0.190836753,0.174250798,0.171780407,0.171318757,,,,,,,,,,
2065,0.173426591,0.190004646,0.173426591,0.170948573,0.1705364,,,,,,,,,,
2066,0.173158929,0.189763385,0.173158929,0.170702724,0.170214616,,,,,,,,,,
2067,0.176453661,0.193419551,0.176453661,0.173980617,0.173507207,,,,,,,,,,
2068,0.175513359,0.192410711,0.175513359,0.173052807,0.172630245,,,,,,,,,,
2069,0.176574168,0.193571169,0.176574168,0.174096399,0.173729451,,,,,,,,,,
2070,0.177818023,0.194932667,0.177818023,0.175319978,0.174961164,,,,,,,,,,
2071,0.178354131,0.195561707,0.178354131,0.1758062,0.175527126,,,,,,,,,,
2072,0.177992985,0.195119989,0.177992985,0.175446961,0.175265117,,,,,,,,,,
2073,0.178599252,0.195781437,0.178599252,0.176024181,0.175890927,,,,,,,,,,
2074,0.178604181,0.195814726,0.178604181,0.176018074,0.175873087,,,,,,,,,,
2075,0.180289396,0.197650703,0.180289396,0.17762597,0.177632947,,,,,,,,,,
2076,0.179654189,0.196978923,0.179654189,0.176946754,0.177087256,,,,,,,,,,
2077,0.180670418,0.198106274,0.180670418,0.177926601,0.178085412,,,,,,,,,,
2078,0.179723588,0.197039582,0.179723588,0.17699915,0.177229583,,,,,,,,,,
2079,0.178732777,0.195993698,0.178732777,0.176008078,0.176321781,,,,,,,,,,
2080,0.180345491,0.197772854,0.180345491,0.177539167,0.178072565,,,,,,,,,,
2081,0.179960752,0.197346249,0.179960752,0.177168372,0.177709901,,,,,,,,,,
2082,0.180606488,0.198108471,0.180606488,0.177821256,0.178418758,,,,,,,,,,
2083,0.179798456,0.197206136,0.179798456,0.17703281,0.177590877,,,,,,,,,,
2084,0.18091442,0.198483063,0.18091442,0.178116927,0.178691785,,,,,,,,,,
2085,0.181702539,0.19932576,0.181702539,0.178910751,0.179438254,,,,,,,,,,
2086,0.182271713,0.199930008,0.182271713,0.179470762,0.179937148,,,,,,,,,,
2087,0.186422021,0.204662612,0.186422021,0.183561104,0.183851072,,,,,,,,,,
