year,scheduled,mini.pia,tax.ssb,cap.spouse,survivorjs75,tax.max.90,tax.max.90.FICA.134,fica.134,cola.chain.cpi,reduce.cola,increase.fra,increase.fra.era,taxmax150000,taxmax180000,no.tax.max
2033,0.794147215,0.771612054,0.787304259,0.801951444,0.816582141,0.904671054,0.994279792,0.876656965,0.829763265,0.825120506,0.798903839,0.800673584,0.819620526,0.839358044,0.984284622
2034,0.775279059,0.749318815,0.769791174,0.788737584,0.807425017,0.923472106,1.041905051,0.888239077,0.826373294,0.820207735,0.784748639,0.786574249,0.812698784,0.840118685,1.03643637
2035,0.759496454,0.72436526,0.749498061,0.771429712,0.79338483,0.92187772,1.057482507,0.885550916,0.815057366,0.807895851,0.767658837,0.769827773,0.799057161,0.83021618,1.050466242
2036,0.75167037,0.713880735,0.741846795,0.763684314,0.785739329,0.90626161,1.034669678,0.87086829,0.80517885,0.798211681,0.760122726,0.762240632,0.789961386,0.819228635,1.022756259
2037,0.736722596,0.695839179,0.726894519,0.749334836,0.772572589,0.892132473,1.021125246,0.856410923,0.791323774,0.784193379,0.746568238,0.748601695,0.775354134,0.804092039,1.005018621
2038,0.724461775,0.679899836,0.714373423,0.737725173,0.761936155,0.878931508,1.010309159,0.846668643,0.780958297,0.773546865,0.735358358,0.737429163,0.764474116,0.793453304,0.992616881
2039,0.711817525,0.663445047,0.701405383,0.72592876,0.75088833,0.871737304,1.00683553,0.837428584,0.770560847,0.762797926,0.723790429,0.726109102,0.753368823,0.782790435,0.988849736
2040,0.69790284,0.645673933,0.68709304,0.712771687,0.7390053,0.861108156,0.999697699,0.826874419,0.758858665,0.750775324,0.710568624,0.713251585,0.740609926,0.77034856,0.977325869
2041,0.690759559,0.634023337,0.679373576,0.706483507,0.73380716,0.859437251,1.002714443,0.824158518,0.754450396,0.745974486,0.705744697,0.708282086,0.735424523,0.765860742,0.979998416
2042,0.677325134,0.616698058,0.665678682,0.693702553,0.721664291,0.85095988,0.998376718,0.814642906,0.743357039,0.73452025,0.693511412,0.69620694,0.724080741,0.755291856,0.97258741
2043,0.661092929,0.596569564,0.648893845,0.678138618,0.706819326,0.836945524,0.988307322,0.802351006,0.729466932,0.72025144,0.678618309,0.681779856,0.70879586,0.740001439,0.961392539
2044,0.648420785,0.579782405,0.635689709,0.666267805,0.695673823,0.827335336,0.982725457,0.793572099,0.719033669,0.709464818,0.667085687,0.670687509,0.697672816,0.72954731,0.949569945
2045,0.645335244,0.571944722,0.632198521,0.664029664,0.69375991,0.830884345,0.991896538,0.795833648,0.718938877,0.70888432,0.666713713,0.670147549,0.697245125,0.729984072,0.958029121
2046,0.627813163,0.550304744,0.614144903,0.647303005,0.677575058,0.822304503,0.988161363,0.782664393,0.703882653,0.693424628,0.651627565,0.65494407,0.681495963,0.715070305,0.953000194
2047,0.615529415,0.533618444,0.601470968,0.636016497,0.666417303,0.810773209,0.981351078,0.775223904,0.694305821,0.683419356,0.641747471,0.645267719,0.670877191,0.705068299,0.941471255
2048,0.603254013,0.517043074,0.588768237,0.624521128,0.655244211,0.804826897,0.980259613,0.767568452,0.684521657,0.673208997,0.63073454,0.634356911,0.660907235,0.695569301,0.938917444
2049,0.58727621,0.497361017,0.572176316,0.609240172,0.640108418,0.791921184,0.971326558,0.755542801,0.670659348,0.65899553,0.617312855,0.621352679,0.646601032,0.681730481,0.928669022
2050,0.571667028,0.477630533,0.556067452,0.594385977,0.625582086,0.775542067,0.958859567,0.744094147,0.657305204,0.645251639,0.603681127,0.60765703,0.63266734,0.668102939,0.910902109
