scale,text
per capita,<p><h4>Per Capita</h4></p><p>Per capita values are half the sum of husband’s and wife’s values for married individuals and own values for single individuals.</p>
equivalent,<p><h4>Equivalent</h4></p><p>Equivalence-scale tabulations multiply family income and assets by the three-parameter equivalence adjustments used by the US Census Bureau for determining supplemental poverty rates. The equivalence adjustment accounts for different spending needs of adults and children in the family.</p>
